slug,program_name,type,apply_url,extracted_question,matched_question_id,matched_question_text,similarity,confidence,recommendation
district-3-innovation,District 3 Innovation,accel,https://district3.co/apply,How many hours a week do you currently spend on your startup or idea?,9736bb67-124d-4352-a98c-f2e84554870b,What does your startup do in one sentence?,0.506,medium,review
district-3-innovation,District 3 Innovation,accel,https://district3.co/apply,How was the team formed? How long have you known each other?,d05b9588-6944-45e9-aa22-3d42633c195d,Who is your target customer? How do you reach them?,0.595,medium,review
ecommerce-north,eCommerce North,accel,https://elevateca.typeform.com/to/bIR5c2lA,none_found,,,,no_match,skip
elab-cornell-university,eLab Cornell University,accel,https://www.elabstartup.com/apply/,Sum up your business in one sentence.,c9f27326-0162-46c3-ad1d-7a914654a648,Describe your company in one sentence.,0.742,high,promote
elab-cornell-university,eLab Cornell University,accel,https://www.elabstartup.com/apply/,What customer problem does your business solve or what unmet need does it address?,f26c5ffe-a3c1-4d8d-ae7f-25df3a7c5941,What is the core problem you are solving and why does it matter?,0.634,medium,review
elab-cornell-university,eLab Cornell University,accel,https://www.elabstartup.com/apply/,Who is the customer with this problem? Describe your early adopter customer.,f159d5e7-bf61-48d4-8df5-a9fdeb0fa271,"Who is your ideal customer profile (ICP)? Describe the company size, industry, and buyer persona.",0.577,medium,review
elab-cornell-university,eLab Cornell University,accel,https://www.elabstartup.com/apply/,Please share your customer discovery progress. How has talking to potential customers influenced the design of your business?,d180a500-f4f0-41b3-aafb-faa325cebcb2,"Describe your commercialization plan, including target market, customers, and path to market.",0.438,low,review
elab-cornell-university,eLab Cornell University,accel,https://www.elabstartup.com/apply/,What alternatives do customers use today instead of your solution? How do they currently solve this problem?,2d27be81-d82d-40ba-adcb-29ae12373277,What is your background and why are you motivated to solve this problem?,0.507,medium,review
elab-cornell-university,eLab Cornell University,accel,https://www.elabstartup.com/apply/,"Have you formed an entity, raised capital, or have current revenue?",2bd9f58f-bf1f-4a90-9438-3bf310d9fe14,How much have you raised to date and from whom? How much are you currently raising?,0.531,medium,review
entrepreneur-first,Entrepreneur First,accel,https://apply.joinef.com,none_found,,,,no_match,skip
forum-ventures,Forum Ventures,accel,https://form.fillout.com/t/vrThVwGMuEus,none_found,,,,no_match,skip
founder-institute,Founder Institute,accel,https://fi.co/join/home,none_found,,,,no_match,skip
founders-factory,Founders Factory,accel,https://form.typeform.com/to/WlDiIsRh,none_found,,,,no_match,skip
greentown-labs,Greentown Labs,accel,https://greentownlabs.com/apply-now/,"Description of company (product, technology, potential markets, competitive advantage, etc.)",c7cf42c1-170f-490e-aaf9-3a76ff6b8470,"Describe the commercial potential of the proposed R&D, including target markets and customers.",0.435,low,review
greentown-labs,Greentown Labs,accel,https://greentownlabs.com/apply-now/,How does your company positively impact the climate or environment?,4f46e2ba-534f-4c9e-a62c-91a3f1e91430,How does your company make or plan to make money?,0.65,medium,review
greentown-labs,Greentown Labs,accel,https://greentownlabs.com/apply-now/,"If you have participated in any competitions, accelerator programs, or incubators, please list the top programs or awards.",e9e5271f-b91d-4010-8620-643ba319cf7e,"Are you applying to other accelerators or programs at this time? If so, which ones?",0.446,low,review
greentown-labs,Greentown Labs,accel,https://greentownlabs.com/apply-now/,WHY DO YOU WANT TO BE A MEMBER OF GREENTOWN LABS? Please select up to three that are particularly important to you.,2a3d5bfe-157d-4128-9f5c-5c68b056a526,What is your company going to make? Please describe your product and what it does or will do.,0.409,low,review
greentown-labs,Greentown Labs,accel,https://greentownlabs.com/apply-now/,Please give a brief marketing description of your company (1-2 sentences).,2e3bd576-4fdf-4616-9cf5-92b529f45e31,Provide a brief description of your company and what you do.,0.717,high,promote
greentown-labs,Greentown Labs,accel,https://greentownlabs.com/apply-now/,Is your company generating revenue?,c9f27326-0162-46c3-ad1d-7a914654a648,Describe your company in one sentence.,0.65,medium,review
greentown-labs,Greentown Labs,accel,https://greentownlabs.com/apply-now/,Has your company been awarded any patents?,e1a016d5-60cd-47f1-9d7b-c528480f3222,Where is your company based? Are you open to relocating?,0.601,medium,review
greentown-labs,Greentown Labs,accel,https://greentownlabs.com/apply-now/,Do you need lab space within the first six months at Greentown Labs?,e47c5882-8196-49ca-a168-26fe36cd58b6,What problem does your product solve? Why is the existing solution inadequate?,0.438,low,review
iterative,Iterative,accel,https://www.iterative.vc/apply,none_found,,,,no_match,skip
launch-ny,Launch NY,accel,https://launchny.org/entrepreneurs/apply-now,none_found,,,,no_match,skip
launchpad-la,Launchpad LA,accel,https://launchpad.la/apply/,none_found,,,,no_match,skip
le-pont-quebec,Le Pont Quebec,accel,https://lepont.io/en/apply,none_found,,,,no_match,skip
league-of-innovators,League of Innovators,accel,https://www.loi.ac/find-your-program,none_found,,,,no_match,skip
