slug,name,type,homepage_url,discovered_apply_url,confidence,notes
ff-venture-capital,ff Venture Capital,other,https://ffvc.com,,not_found,"VC firm website; no public application process — pitch via network"
fifty-years,Fifty Years,other,https://fiftyyears.com,https://50y.typeform.com/interest-c9,medium,"Typeform interest form for 5050 program (founder-in-residence); applications open June 2026"
flash-pitch,Flash Pitch,other,https://www.flashpitch.nyc,,not_found,"Domain DNS resolution failed; site appears down"
flat6labs-uae,FLAT6LABS UAE,other,https://www.flat6labs.com/Location/uae,https://flat6labs.com/program/the-catalyst-accelerator-program/,medium,"Active accelerator programs listed on UAE page; Catalyst Accelerator is current active program"
founder-fridays,Founder Fridays,other,https://rsvp.withgoogle.com/events/founder-fridays/what-is-founder-fridays,,not_found,"Google RSVP page; JS-rendered; informational page — invite/RSVP model not open application"
founder-led-biotech-summit,Founder-led Biotech Summit,other,https://founderledbio.com,https://founderledbio.com/tour/,high,"Register CTA found; tour registration page for in-person events"
founders-village,Founders Village,other,https://www.foundersvillage.co,,not_found,"Site returned no content; may be down or JS-only"
foundersbeta,FoundersBeta,other,https://www.foundersbeta.com,https://foundersbeta.com/membership/,high,"Become a Member CTA links to membership page — community with application process"
fuck-up-toronto,Fuck Up Toronto,other,https://www.fuckupnightsto.ca,https://docs.google.com/forms/d/e/1FAIpQLScK51l0f4BJA7X_ba4vSd-887aHJv5OQXwJHxLqYvdva7xUhw/viewform,high,"Google Form to apply as a speaker found prominently on homepage"
get-cities,GET Cities,other,https://www.getcities.org,,not_found,"Site returned no content; may be JS-rendered or down"
google-developer-groups-boulder,Google Developer Groups Boulder,other,https://www.meetup.com/Google-Developer-Group-Boulder,,not_found,"Meetup group; join via Meetup platform only — no application process with questions"
greater-kw-chamber-of-commerce,Greater KW Chamber of Commerce,other,https://greaterkwchamber.com,https://greaterkwchamber.com/membership/join,high,"Become A Member link found; membership join page"
gryphhacks,GryphHacks,other,https://gryphhacks.com/home,,low,"Hackathon; site JS-rendered and did not return content; likely has MLH application portal"
guelph-chamber-of-commerce,Guelph Chamber of Commerce,other,https://www.guelphchamber.com,https://www.guelphchamber.com/membership/become-a-member,high,"Join Now CTA links to become-a-member page"
hack-nyu,Hack NYU,other,https://hacknyu.org,,low,"Hackathon; site JS-rendered; likely has an application portal but not discoverable via scrape"
hack-the-north,Hack the North,other,https://hackthenorth.com,,low,"Hackathon; site JS-rendered; known to use portal.hackthenorth.com for applications"
hack-western,Hack Western,other,https://www.hackwestern.com,,low,"Hackathon (Nov 2025 edition completed); site shows submissions page; next cycle not yet open"
hackathon-101,Hackathon 101,other,https://calendar.ucdenver.edu/event/hackathon_101_8956,,not_found,"University calendar event listing only; no separate application"
hacktx,HackTX,other,https://hacktx.com,https://rodeo.freetailhackers.com/,high,"Apply Now button links to Rodeo hacker portal"
hamilton-chamber-of-commerce,Hamilton Chamber of Commerce,other,https://www.hamiltonchamber.ca/events-home,https://www.hamiltonchamber.ca/join-now/,high,"Join Now CTA found on events page; membership application"
herdata,HER+Data,other,https://www.meetup.com/her-data,,not_found,"Meetup group; join via Meetup platform only — no application process with questions"
hive-vancouver-society,HiVE Vancouver Society,other,https://www.hivevancouver.com,https://www.hivevancouver.com/memberships,high,"Join Now / Get Started CTAs link to memberships page; coworking community application"
impact-hub-ottawa,Impact Hub Ottawa,other,https://ottawa.impacthub.net,https://ottawa.impacthub.net/become-a-member/,high,"Membership application page found; multiple tiers with structured process"
innovate-finance-global-summit,Innovate Finance Global Summit,other,https://www.innovatefinance.com/ifgs2023,https://www.innovatefinance.com/ifgs2023/secureyourticket/,medium,"Secure Your Ticket page found; conference registration for IFGS 2023"
innovator-network-of-canada,Innovator Network of Canada,other,https://www.linkedin.com/showcase/innovator-network-of-canada,,not_found,"LinkedIn showcase page only; no application process — follow/join on LinkedIn"
inspired-capital,Inspired Capital,other,https://inspiredcapital.com,,not_found,"VC firm; no public pitch application found; newsletter signup only"
inventures,Inventures,other,https://inventurescanada.com,,not_found,"Conference; registration page not accessible via scrape; check inventurescanada.com/register"
ivey-venture-capital-club,Ivey Venture Capital Club,other,https://www.linkedin.com/company/ivey-venture-capital-club/?originalSubdomain=ca,,not_found,"LinkedIn company page only; no application process discoverable"
jelly-social,Jelly Social,other,https://jellysocial.ca,,not_found,"Site loaded but no apply/join CTA found; appears to be community events org"
lahacks,LAHacks,other,https://lahacks.com,https://apply.lahacks.com,high,"Direct apply subdomain found in page source"
angel-summit,Launch Angel Summit,other,https://www.launchangelsummit.com,,not_found,"Domain DNS resolution failed; site appears down"
ldv-capital,LDV Capital,other,https://www.linkedin.com/company/ldv-capital,,not_found,"LinkedIn company page only; no application process discoverable"
legacy-conference,Legacy Conference,other,https://www.legacycan.ca,,not_found,"Site expired (Squarespace account expired)"
mesh-conference,mesh conference,other,https://meshconference.com,,not_found,"Conference; newsletter signup only; no structured application or registration CTA found"
miami-hack-week,Miami Hack Week,other,https://www.miamihackweek.com,,low,"Site JS-rendered (loading animation only); hackathon — likely has application portal"
miami-nft-week,Miami NFT Week,other,https://miaminftweek.com,https://miaminftweek.ticketspice.com/2023,medium,"Ticketspice ticket purchase page; event registration via ticket tiers"
miami-tech-life,Miami Tech Life,other,https://www.miamitech.life,https://www.miamitech.life/get-involved,medium,"Get Involved link found on homepage; community engagement page"
miami-tech-summit,Miami Tech Summit,other,https://techsummitmiami.com,,not_found,"Site loaded but no register/apply CTA found in scraped content"
mindshare-workplace-mississauga,Mindshare Workplace Mississauga,other,https://mindshareworkspace.com,,not_found,"Coworking space; no application form — contact/booking model"
mississauga-board-of-trade,Mississauga Board of Trade,other,https://mbot.com,https://mbot.com/membership/membership-benefits/,medium,"Membership benefits and join pages found; chamber membership application"
mit-hacking-medicine,MIT Hacking Medicine,other,https://www.hackingmedicine.mit.edu,https://www.hackingmedicine.mit.edu/events/grandhack-2026,high,"GrandHack 2026 event page found; hackathon with application/registration process"
montreal-newtech,Montreal NewTech,other,https://www.montrealnewtech.com,,not_found,"Domain redirects to elantech.co (unrelated); original site appears defunct"
motiv-digital,Motiv Digital,other,https://motiv.digital,,not_found,"Innovation consultancy website; no public application process"
move-mobility-reimagined,MOVE Mobility ReImagined,other,https://movemnt.net/events,,not_found,"Event news/blog page; no direct registration CTA found"
new-tech-colorado,New Tech Colorado,other,https://www.meetup.com/bdnewtech,,not_found,"Meetup group; join via Meetup platform only — no application process with questions"
new-york-fintech-week,New York Fintech Week,other,https://empirestartups.com/events/new-york-fintech-week,,not_found,"Conference event listing; no registration CTA found (past event)"
nwplus,nwPlus,other,https://nwplus.io,https://nwplus.io/#hackathons,low,"Hackathon organizer; hackathons section found but individual event apply links not rendered"
ny-tech-meetup,NY Tech Meetup,other,https://www.meetup.com/ny-tech,,not_found,"Meetup group; join via Meetup platform only — no application process with questions"
nyedtech,NYEdTech,other,https://www.meetup.com/NYEdTech,,not_found,"Meetup group; join via Meetup platform only — no application process with questions"
office-logic,Office Logic,other,https://office-logic.co,,not_found,"Coworking space; bookings model via lovable.app tool; no application process"
onramp-coworking-university-of-toronto,ONRamp Coworking University of Toronto,other,https://entrepreneurs.utoronto.ca/about/our-space,https://ute.acceleratorapp.co/application/new?program=onramp%20membership,high,"AcceleratorApp application form found directly in page links"
ottawa-board-of-trade,Ottawa Board of Trade,other,https://www.ottawabot.ca/upcoming-events,https://www.ottawabot.ca/membership/why-be-a-member/,medium,"Membership section found with member benefits page; chamber application"
payment-summit-canada,Payment Summit Canada,other,https://www.thesummit.ca,https://www.thesummit.ca/page/5013974/register,high,"Register page found via curl redirect; 2026 Payments Canada SUMMIT registration"
people-analytics-summit,People Analytics Summit,other,https://www.peopleanalyticscanada.com,https://strategyinstitute-21235114.hs-sites.com/pa-2026-register-your-interest-for-2026,high,"HubSpot registration interest form found on homepage"
pitch-night-mia,Pitch Night MIA,other,https://www.meetup.com/pitch-night-mia,,not_found,"Meetup group; join via Meetup platform only — no application process with questions"
productbc,ProductBC,other,https://productbc.ca,https://productbc.ca/joinnow/,high,"Join Now CTA links to membership application page"
