slug,name,type,homepage_url,discovered_apply_url,confidence,notes
greenhouse,GreenHouse,accel,https://uwaterloo.ca/united-college/greenhouse,,not_found,"Apply link leads to housing, not accelerator"
greentown-labs,Greentown Labs,accel,https://greentownlabs.com,https://greentownlabs.com/apply-now/,high,Apply Now
halton-region-small-business-centre,Halton Region Small Business Centre,accel,https://www.halton.ca/For-Business/Halton-Region-Small-Business-Centre,,not_found,no apply link found
hardwaredotco,Hardwaredotco,accel,https://hardware.co,https://hardware.co/applications-open-hardware-co-batch-6-quality-life/,low,Blog post about batch 6 applications open
harvard-innovation-labs,Harvard Innovation Labs,accel,https://innovationlabs.harvard.edu,https://innovationlabs.harvard.edu/events/application-deadline-harvard-alumni-accelerator-programs-2,medium,Now Accepting Applications from Alumni +
hatchery-incubator-university-of-toronto,Hatchery Incubator University of Toronto,accel,https://hatchery.engineering.utoronto.ca,https://hatchery.engineering.utoronto.ca/application-forms/#/nest/,medium,APPLY
health-innovation-hub-university-of-toronto,Health Innovation Hub University of Toronto,accel,https://h2i.utoronto.ca,https://h2i.utoronto.ca/join/,low,Join
healthbox,Healthbox,accel,https://www.himss.org/what-we-do-solutions/healthbox,,error,Homepage 404; program may be defunct or moved
hearstlab,HearstLab,accel,https://www.hearst.com/hearst-life/hearstlab,https://airtable.com/appLu68pqNyqxgopB/pag73lv5kjT6knzyl/form?prefill_HearstLab+team=US&hide_HearstLab+team=true&prefill_Lab+POC=recxsO0zRhVpNY2oA&hide_Lab+POC=true,medium,Apply US
highline-beta,Highline Beta,accel,https://highlinebeta.com,,not_found,no apply link found
highway1,Highway1,accel,https://highway1.io,,not_found,no apply link found
holtxchange,HoltXchange,accel,https://holtxchange.com,,not_found,no apply link found
huckletree,Huckletree,accel,https://www.huckletree.com/education/alpha,,not_found,no apply link found
icube-incubator,ICUBE Incubator,accel,https://icubeutm.ca,,not_found,no apply link found
idea,IDEA,accel,https://www.northeastern.edu/idea,,not_found,no apply link found
idea-mississauga,Idea Mississauga,accel,https://www.ideamississauga.ca,,not_found,no apply link found
ideahub,ideaHUB,accel,https://dalideahub.ca,https://dalideahub.ca/general-application-form/,low,Apply
ignite,Ignite,accel,https://ignite.io,,error,Site blocked scraping (403)
illinois-science-technology-coalition-and-institute,Illinois Science & Technology Coalition and Institute,accel,https://www.istcoalition.org,,not_found,no apply link found
illumina-accelerator,Illumina Accelerator,accel,https://www.illumina.com/company/illumina-for-startups/accelerator-program.html,https://www.illumina.com/landing/illumina-accelerator/grant-competition-application.html,medium,Apply Now
imagination-catalyst-incubator,Imagination Catalyst Incubator,accel,https://www.ocadu.ca/services/centre-for-emerging-artists-and-designers/imagination-catalyst,,error,Homepage 404; page may have moved
indie-bio,Indie Bio,accel,https://indiebio.co,https://sosv.com/apply/sosv/,medium,Apply
innosphere-ventures,Innosphere Ventures,accel,https://innosphereventures.org,https://forms.monday.com/forms/c84aae056c301c5a29b23d5f4f34392e?r=use1,medium,Monday.com form (HOW TO APPLY section)
innovate-bc,Innovate BC,accel,https://www.innovatebc.ca,,not_found,no apply link found
innovate-calgary-incubator,Innovate Calgary Incubator,accel,https://innovatecalgary.com,,not_found,no apply link found
innovatebu,Innovate@BU,accel,https://www.bu.edu/innovate,https://www.bu.edu/innovate/programs-competitions/innovation-pathway/,medium,Innovation Pathway [Apply Now]
innovation-and-entrepreneurship-centre-at-algonquin-college,Innovation and Entrepreneurship Centre at Algonquin College,accel,https://www.algonquincollege.com/alumni/benefits-perks/entrepreneurship-centre,,error,Homepage 404; URL may have changed
innovation-boost-zone,Innovation Boost Zone,accel,https://www.torontomu.ca/innovation-boost-zone,,not_found,"Admissions link is for university, not IBZ"
innovation-factory,Innovation Factory,accel,https://innovationfactory.ca,https://innovationfactory.ca/client-intake-form/,medium,Apply now
innovation-guelph,Innovation Guelph,accel,https://innovationguelph.ca,,not_found,no apply link found
innovation-hub-at-carleton-university,Innovation Hub at Carleton University,accel,https://carleton.ca/innovationhub,https://carleton.ca/innovationhub/innovation-hub-applicants/,low,Apply to the Innovation Hub Here
innovation-studio,Innovation Studio,accel,https://www.linkedin.com/company/myinnovationstudio,,error,LinkedIn URL 404; program may be inactive
innoved,InnovED,accel,https://www.innoved.oise.utoronto.ca,https://cpl.oise.utoronto.ca/register/,low,Register
intuit-prosperity-accelerator,Intuit Prosperity Accelerator,accel,https://www.intuit.com/ca/prosperity-accelerator,,error,Rate limited (429); try manual check
invest-buffalo-niagara,Invest Buffalo Niagara,accel,https://buffaloniagara.org/grow-your-business/startup-resources,,not_found,no apply link found
invest-kingston,Invest Kingston,accel,https://www.investkingston.ca,,not_found,no apply link found
invest-ottawa,Invest Ottawa,accel,https://www.investottawa.ca,,not_found,"Apply link is job listing, not accelerator"
istarter,iStarter,accel,https://twitter.com/istarteritaly,,not_found,no apply link found
iterative,Iterative,accel,https://www.iterative.vc,https://www.iterative.vc/apply,high,Apply now
john-wood-centre-for-business-and-student-enterprise,John Wood Centre for Business and Student Enterprise,accel,https://www.uoguelph.ca/johnfwoodcentre/thehub,https://www.uoguelph.ca/wood-centre/hub-incubator-application-process,low,Apply to the Hub!
johnson-summer-startup-accelerator,Johnson Summer Startup Accelerator,accel,https://eship.cornell.edu/item/johnson-summer-startup-accelerator,,not_found,no apply link found
kaplan-institute-for-innovation-and-tech-entrepreneurship,Kaplan Institute for Innovation and Tech Entrepreneurship,accel,https://www.iit.edu/kaplan,,not_found,"Apply link is IIT admissions, not Kaplan program"
l-marks,L Marks,accel,https://lmarks.com,,not_found,Corporate innovation studio; apply via contact form
l-spark,L-Spark,accel,https://www.l-spark.com,https://www.l-spark.com/telus-sovereign-ai-accelerator/,low,Accelerate Your AI Innovation with TELUS
la-piscine-mtl,La Piscine MTL,accel,https://www.lapiscine.co/en,https://forms.monday.com/forms/7624dfc48bc392df3e116fe3e1a48886?r=use1,medium,Monday.com form on deep-dive program page
labasehec-montreal,LabaseHEC Montreal,accel,https://labase.hec.ca,,error,Site blocked scraping (403)
lair-east-labs,Lair East Labs,accel,https://laireastlabs.com,https://forms.gle/CxLEVf5P1CjkXUVP6,medium,Google Form apply link on homepage
lassonde-school-of-engineering-best-program,Lassonde School of Engineering BEST Program,accel,https://lassonde.yorku.ca/best/entrepreneurship,https://forms.monday.com/forms/0a8ec3e2cd98347e7d87e30123e7d078?r=use1,low,Apply to join our community
launch-academy,Launch Academy,accel,https://www.launchacademy.ca,https://launch.launchacademy.ca/,medium,Launch Your Startup application portal
launch-accelerator,Launch Accelerator,accel,https://launchaccelerator.co,,not_found,no apply link found
launch-berkely,Launch Berkely,accel,https://www.uclaunch.com,https://www.uclaunch.com/apply,medium,Apply
launch-lab,Launch Lab,accel,https://www.launchlab.ca,,not_found,no apply link found
